rank_number,actor,events,percent,cumulative_sum,cumulative_percent,all_events
1,matthiashanel,299,1.34916,299,1.34916,22162
2,lparis,43,0.19403,342,1.54318,22162
3,ronag,34,0.15342,376,1.69660,22162
4,sfrooster,34,0.15342,410,1.85001,22162
5,rigtorp,23,0.10378,433,1.95379,22162
6,jasper-d,21,0.09476,454,2.04855,22162
7,stjepang,20,0.09024,474,2.13880,22162
8,juandiegopalomino,18,0.08122,492,2.22002,22162
9,wutkemtt,18,0.08122,510,2.30124,22162
10,peng-w,16,0.07220,526,2.37343,22162
11,tpihl,15,0.06768,541,2.44112,22162
12,jgaskins,14,0.06317,555,2.50429,22162
13,madgrenadier,14,0.06317,569,2.56746,22162
14,unisqu,14,0.06317,583,2.63063,22162
15,biskit,13,0.05866,596,2.68929,22162
16,MartinForReal,13,0.05866,609,2.74795,22162
17,mmanna-sapfgl,13,0.05866,622,2.80661,22162
18,nuss-justin,13,0.05866,635,2.86526,22162
19,s-shin,13,0.05866,648,2.92392,22162
20,film42,12,0.05415,660,2.97807,22162
21,harold-toledo,12,0.05415,672,3.03222,22162
22,pananton,11,0.04963,683,3.08185,22162
23,zhaoyao91,11,0.04963,694,3.13149,22162
24,AaronFriel,9,0.04061,703,3.17210,22162
25,arekkas,9,0.04061,712,3.21271,22162
26,guilherme-santos,9,0.04061,721,3.25332,22162
27,jmptrader,9,0.04061,730,3.29393,22162
28,MaruHyl,9,0.04061,739,3.33454,22162
29,Ryner51,9,0.04061,748,3.37515,22162
30,sujitn,9,0.04061,757,3.41576,22162
31,0taste,8,0.03610,765,3.45185,22162
32,jebbench,8,0.03610,773,3.48795,22162
33,nithinkd-geon,8,0.03610,781,3.52405,22162
34,rafw,8,0.03610,789,3.56015,22162
35,SkinnySackboy,8,0.03610,797,3.59625,22162
36,tegk,8,0.03610,805,3.63234,22162
37,YoninL,8,0.03610,813,3.66844,22162
38,asafyish,7,0.03159,820,3.70003,22162
39,avatarneil,7,0.03159,827,3.73161,22162
40,ayaya118,7,0.03159,834,3.76320,22162
41,basti1302,7,0.03159,841,3.79478,22162
42,bkim54,7,0.03159,848,3.82637,22162
43,CarloWakefield,7,0.03159,855,3.85796,22162
44,DeployChef,7,0.03159,862,3.88954,22162
45,joeblew99,7,0.03159,869,3.92113,22162
46,mackeyja92,7,0.03159,876,3.95271,22162
47,Manuri,7,0.03159,883,3.98430,22162
48,sebastien-curutchet,7,0.03159,890,4.01588,22162
49,shohi,7,0.03159,897,4.04747,22162
50,tamnm,7,0.03159,904,4.07905,22162
51,ThomasVestergaard,7,0.03159,911,4.11064,22162
52,xzzh999,7,0.03159,918,4.14223,22162
53,aforward,6,0.02707,924,4.16930,22162
54,bfoxstudio,6,0.02707,930,4.19637,22162
55,brianshannan,6,0.02707,936,4.22345,22162
56,brianshannan-wf,6,0.02707,942,4.25052,22162
57,CaptainYarb,6,0.02707,948,4.27759,22162
58,cee-dub,6,0.02707,954,4.30467,22162
59,chilly,6,0.02707,960,4.33174,22162
60,edam,6,0.02707,966,4.35881,22162
61,gedw99,6,0.02707,972,4.38589,22162
62,ishbir,6,0.02707,978,4.41296,22162
63,jason-magnetic-io,6,0.02707,984,4.44003,22162
64,jfathman,6,0.02707,990,4.46711,22162
65,kirooha,6,0.02707,996,4.49418,22162
66,leenux,6,0.02707,1002,4.52125,22162
67,lipengyuntian,6,0.02707,1008,4.54833,22162
68,maruqu,6,0.02707,1014,4.57540,22162
69,Mr7Sir,6,0.02707,1020,4.60247,22162
70,robertfreund,6,0.02707,1026,4.62955,22162
71,Sergey-Terekhin,6,0.02707,1032,4.65662,22162
72,shanurrahman,6,0.02707,1038,4.68369,22162
73,streetlist,6,0.02707,1044,4.71077,22162
74,timboudreau,6,0.02707,1050,4.73784,22162
75,wrightleft,6,0.02707,1056,4.76491,22162
76,yuce,6,0.02707,1062,4.79199,22162
77,azrle,5,0.02256,1067,4.81455,22162
78,baconalot,5,0.02256,1072,4.83711,22162
79,bruth,5,0.02256,1077,4.85967,22162
80,Cingulara,5,0.02256,1082,4.88223,22162
81,cmfatih,5,0.02256,1087,4.90479,22162
82,cpani,5,0.02256,1092,4.92735,22162
83,davidkemper,5,0.02256,1097,4.94991,22162
84,ekoeryanto,5,0.02256,1102,4.97248,22162
85,FarhanSajid1,5,0.02256,1107,4.99504,22162
86,flowerinthenight,5,0.02256,1112,5.01760,22162
87,gertcuykens,5,0.02256,1117,5.04016,22162
88,heijiu,5,0.02256,1122,5.06272,22162
89,igoberman,5,0.02256,1127,5.08528,22162
90,Imaskar,5,0.02256,1132,5.10784,22162
91,itn3000,5,0.02256,1137,5.13040,22162
92,Jagatjot,5,0.02256,1142,5.15296,22162
93,kthomas,5,0.02256,1147,5.17553,22162
94,kylos101,5,0.02256,1152,5.19809,22162
95,maksimenko-stanislav,5,0.02256,1157,5.22065,22162
96,meiswjn,5,0.02256,1162,5.24321,22162
97,mennanov,5,0.02256,1167,5.26577,22162
98,natiki,5,0.02256,1172,5.28833,22162
99,nickcarenza,5,0.02256,1177,5.31089,22162
100,nussjustin,5,0.02256,1182,5.33345,22162
101,purple4reina,5,0.02256,1187,5.35601,22162
102,pysiekytel,5,0.02256,1192,5.37858,22162
103,ramasa,5,0.02256,1197,5.40114,22162
104,rchenzheng,5,0.02256,1202,5.42370,22162
105,s921102002,5,0.02256,1207,5.44626,22162
106,sateffen,5,0.02256,1212,5.46882,22162
107,senzacionale,5,0.02256,1217,5.49138,22162
108,shaunc,5,0.02256,1222,5.51394,22162
109,steventanwc,5,0.02256,1227,5.53650,22162
110,wanlinus,5,0.02256,1232,5.55907,22162
111,xorgy,5,0.02256,1237,5.58163,22162
112,zackws,5,0.02256,1242,5.60419,22162
113,Aavon,4,0.01805,1246,5.62224,22162
114,acro5piano,4,0.01805,1250,5.64029,22162
115,alanyeung95,4,0.01805,1254,5.65833,22162
116,alexpantyukhin,4,0.01805,1258,5.67638,22162
117,altSoftLLC,4,0.01805,1262,5.69443,22162
118,arden,4,0.01805,1266,5.71248,22162
119,asterite,4,0.01805,1270,5.73053,22162
120,belevtsev,4,0.01805,1274,5.74858,22162
121,blazedd,4,0.01805,1278,5.76663,22162
122,camp-007,4,0.01805,1282,5.78468,22162
123,chiaolun,4,0.01805,1286,5.80273,22162
124,cOckTHell,4,0.01805,1290,5.82077,22162
125,coffeefedora,4,0.01805,1294,5.83882,22162
126,custa,4,0.01805,1298,5.85687,22162
127,CycoPH,4,0.01805,1302,5.87492,22162
128,czlbaiyi,4,0.01805,1306,5.89297,22162
129,dioptre,4,0.01805,1310,5.91102,22162
130,dlabey,4,0.01805,1314,5.92907,22162
131,dmpriso,4,0.01805,1318,5.94712,22162
132,doshyt,4,0.01805,1322,5.96517,22162
133,drauch,4,0.01805,1326,5.98321,22162
134,GingerMoon,4,0.01805,1330,6.00126,22162
135,gitchander,4,0.01805,1334,6.01931,22162
136,hidai,4,0.01805,1338,6.03736,22162
137,hsinhoyeh,4,0.01805,1342,6.05541,22162
138,ievgen-kolomiiets,4,0.01805,1346,6.07346,22162
139,ingosus,4,0.01805,1350,6.09151,22162
140,jirenius,4,0.01805,1354,6.10956,22162
141,jjp91,4,0.01805,1358,6.12761,22162
142,jmwilkinson,4,0.01805,1362,6.14565,22162
143,JulianZhao,4,0.01805,1366,6.16370,22162
144,KauzClay,4,0.01805,1370,6.18175,22162
145,Kazmirchuk,4,0.01805,1374,6.19980,22162
146,Ketharan,4,0.01805,1378,6.21785,22162
147,Kikimora,4,0.01805,1382,6.23590,22162
148,KoryNunn,4,0.01805,1386,6.25395,22162
149,lorenzoisidori21,4,0.01805,1390,6.27200,22162
150,lukaf,4,0.01805,1394,6.29005,22162
151,m4ce,4,0.01805,1398,6.30809,22162
152,mctully,4,0.01805,1402,6.32614,22162
153,mdevan,4,0.01805,1406,6.34419,22162
154,minhnt95,4,0.01805,1410,6.36224,22162
155,monopollly,4,0.01805,1414,6.38029,22162
156,moon-bits,4,0.01805,1418,6.39834,22162
157,nuhamind2,4,0.01805,1422,6.41639,22162
158,pedrouid,4,0.01805,1426,6.43444,22162
159,peterwald,4,0.01805,1430,6.45249,22162
160,phynias,4,0.01805,1434,6.47054,22162
161,RedShift1,4,0.01805,1438,6.48858,22162
162,reidlai,4,0.01805,1442,6.50663,22162
163,savaki,4,0.01805,1446,6.52468,22162
164,selstam,4,0.01805,1450,6.54273,22162
165,shaiaTradair,4,0.01805,1454,6.56078,22162
166,shanna,4,0.01805,1458,6.57883,22162
167,sujeshthekkepatt,4,0.01805,1462,6.59688,22162
168,tomponline,4,0.01805,1466,6.61493,22162
169,viktorm77,4,0.01805,1470,6.63298,22162
170,vpol,4,0.01805,1474,6.65102,22162
171,wanjunlei,4,0.01805,1478,6.66907,22162
172,xiaomi-tc,4,0.01805,1482,6.68712,22162
173,yireyun,4,0.01805,1486,6.70517,22162
174,zombiecong,4,0.01805,1490,6.72322,22162
175,3asm,3,0.01354,1493,6.73676,22162
176,6ecuk,3,0.01354,1496,6.75029,22162
177,abacaj,3,0.01354,1499,6.76383,22162
178,alexanderinochkin,3,0.01354,1502,6.77737,22162
179,alifpay,3,0.01354,1505,6.79090,22162
180,andyl,3,0.01354,1508,6.80444,22162
181,aratz-lasa,3,0.01354,1511,6.81798,22162
182,arminbuerkle,3,0.01354,1514,6.83151,22162
183,artyomturkin,3,0.01354,1517,6.84505,22162
184,asbapat,3,0.01354,1520,6.85859,22162
185,asdonation,3,0.01354,1523,6.87212,22162
186,baoyachi,3,0.01354,1526,6.88566,22162
187,blelump,3,0.01354,1529,6.89920,22162
188,BrannonKing,3,0.01354,1532,6.91273,22162
189,Britvich,3,0.01354,1535,6.92627,22162
190,byazrail,3,0.01354,1538,6.93981,22162
191,charles-d-burton,3,0.01354,1541,6.95334,22162
192,chendo,3,0.01354,1544,6.96688,22162
193,ChenYida,3,0.01354,1547,6.98042,22162
194,cjbhaines,3,0.01354,1550,6.99395,22162
195,ckim0419,3,0.01354,1553,7.00749,22162
196,CKing,3,0.01354,1556,7.02103,22162
197,codmajik,3,0.01354,1559,7.03456,22162
198,colek42,3,0.01354,1562,7.04810,22162
199,complex64,3,0.01354,1565,7.06164,22162
200,costa,3,0.01354,1568,7.07517,22162
201,crozzy,3,0.01354,1571,7.08871,22162
202,daghb,3,0.01354,1574,7.10225,22162
203,david-hex,3,0.01354,1577,7.11578,22162
204,dbeecham,3,0.01354,1580,7.12932,22162
205,def1oyd,3,0.01354,1583,7.14286,22162
206,delfick,3,0.01354,1586,7.15639,22162
207,derekbekoe,3,0.01354,1589,7.16993,22162
208,devKlausS,3,0.01354,1592,7.18347,22162
209,DoMySon,3,0.01354,1595,7.19700,22162
210,dtoubelis,3,0.01354,1598,7.21054,22162
211,dvasko,3,0.01354,1601,7.22408,22162
212,fmvin,3,0.01354,1604,7.23761,22162
213,gaohuag,3,0.01354,1607,7.25115,22162
214,garrardkitchen,3,0.01354,1610,7.26469,22162
215,gnarea,3,0.01354,1613,7.27822,22162
216,hansonkd,3,0.01354,1616,7.29176,22162
217,haoch,3,0.01354,1619,7.30530,22162
218,harrisa1,3,0.01354,1622,7.31883,22162
219,haseebq,3,0.01354,1625,7.33237,22162
220,hesidoryn,3,0.01354,1628,7.34591,22162
221,highfield,3,0.01354,1631,7.35944,22162
222,holem,3,0.01354,1634,7.37298,22162
223,huangyigui,3,0.01354,1637,7.38652,22162
224,israellot,3,0.01354,1640,7.40005,22162
225,jdoig,3,0.01354,1643,7.41359,22162
226,JnMik,3,0.01354,1646,7.42713,22162
227,jnsone11,3,0.01354,1649,7.44066,22162
228,JohnnyQQQQ,3,0.01354,1652,7.45420,22162
229,johnsusi,3,0.01354,1655,7.46774,22162
230,jupiter,3,0.01354,1658,7.48127,22162
231,kapralius,3,0.01354,1661,7.49481,22162
232,karliky,3,0.01354,1664,7.50835,22162
233,kirill256,3,0.01354,1667,7.52188,22162
234,kkocel,3,0.01354,1670,7.53542,22162
235,KORuL,3,0.01354,1673,7.54896,22162
236,korzhev,3,0.01354,1676,7.56249,22162
237,labsvisual,3,0.01354,1679,7.57603,22162
238,lammel,3,0.01354,1682,7.58957,22162
239,LaurensVergote,3,0.01354,1685,7.60310,22162
240,leifg,3,0.01354,1688,7.61664,22162
241,linux-support,3,0.01354,1691,7.63018,22162
242,lucwillems,3,0.01354,1694,7.64371,22162
243,mareksoluch,3,0.01354,1697,7.65725,22162
244,MateuszPluciennik,3,0.01354,1700,7.67079,22162
245,matti,3,0.01354,1703,7.68432,22162
246,museghost,3,0.01354,1706,7.69786,22162
247,nicogon,3,0.01354,1709,7.71140,22162
248,njern,3,0.01354,1712,7.72493,22162
249,oaStuff,3,0.01354,1715,7.73847,22162
250,oncicaradupopovici,3,0.01354,1718,7.75201,22162
251,opoudjis,3,0.01354,1721,7.76554,22162
252,perrohunter,3,0.01354,1724,7.77908,22162
253,phifty,3,0.01354,1727,7.79262,22162
254,philipfoulkes,3,0.01354,1730,7.80615,22162
255,pivotal-jamil-shamy,3,0.01354,1733,7.81969,22162
256,rafsawicki,3,0.01354,1736,7.83323,22162
257,rajugupta15,3,0.01354,1739,7.84676,22162
258,rakeshv1,3,0.01354,1742,7.86030,22162
259,renanberto,3,0.01354,1745,7.87384,22162
260,ricbartm,3,0.01354,1748,7.88737,22162
261,rockymadden,3,0.01354,1751,7.90091,22162
262,rudyjantz,3,0.01354,1754,7.91445,22162
263,runech,3,0.01354,1757,7.92798,22162
264,ryancurtin,3,0.01354,1760,7.94152,22162
265,rybit,3,0.01354,1763,7.95506,22162
266,sah4ez,3,0.01354,1766,7.96859,22162
267,santo74,3,0.01354,1769,7.98213,22162
268,scunningham,3,0.01354,1772,7.99567,22162
269,ShawnMilo,3,0.01354,1775,8.00920,22162
270,sheenobu,3,0.01354,1778,8.02274,22162
271,shengery,3,0.01354,1781,8.03628,22162
272,smortex,3,0.01354,1784,8.04981,22162
273,ssoroka,3,0.01354,1787,8.06335,22162
274,tharrold,3,0.01354,1790,8.07689,22162
275,The-Alchemist,3,0.01354,1793,8.09043,22162
276,tr8dr,3,0.01354,1796,8.10396,22162
277,tvalletta,3,0.01354,1799,8.11750,22162
278,tw4dl,3,0.01354,1802,8.13104,22162
279,twang2218,3,0.01354,1805,8.14457,22162
280,typusomega,3,0.01354,1808,8.15811,22162
281,uwillis,3,0.01354,1811,8.17165,22162
282,vertti,3,0.01354,1814,8.18518,22162
283,vikram1601,3,0.01354,1817,8.19872,22162
284,vjpr,3,0.01354,1820,8.21226,22162
285,whynowy,3,0.01354,1823,8.22579,22162
286,wjbakker,3,0.01354,1826,8.23933,22162
287,wustrong,3,0.01354,1829,8.25287,22162
288,xianghu1314,3,0.01354,1832,8.26640,22162
289,yavuzyurtbegendi,3,0.01354,1835,8.27994,22162
290,zhaodanwjk,3,0.01354,1838,8.29348,22162
291,znbang,3,0.01354,1841,8.30701,22162
292,zoni,3,0.01354,1844,8.32055,22162
293,zrob,3,0.01354,1847,8.33409,22162
294,06wagon,2,0.00902,1849,8.34311,22162
295,0xflotus,2,0.00902,1851,8.35213,22162
296,2dev2,2,0.00902,1853,8.36116,22162
297,4nte,2,0.00902,1855,8.37018,22162
298,a36233,2,0.00902,1857,8.37921,22162
299,abrandoned,2,0.00902,1859,8.38823,22162
300,Agronis,2,0.00902,1861,8.39726,22162
301,ajoubertza,2,0.00902,1863,8.40628,22162
302,akahan,2,0.00902,1865,8.41531,22162
303,akoenig,2,0.00902,1867,8.42433,22162
304,AlaRuba,2,0.00902,1869,8.43335,22162
305,alexander-klang,2,0.00902,1871,8.44238,22162
306,Amardaya,2,0.00902,1873,8.45140,22162
307,amunhoz,2,0.00902,1875,8.46043,22162
308,AnatoliiPrylutskyi,2,0.00902,1877,8.46945,22162
309,AnatolyKap,2,0.00902,1879,8.47848,22162
310,Ansudeen,2,0.00902,1881,8.48750,22162
311,arajitsamanta,2,0.00902,1883,8.49653,22162
312,arush15june,2,0.00902,1885,8.50555,22162
313,AshfordN,2,0.00902,1887,8.51457,22162
314,asialiugf,2,0.00902,1889,8.52360,22162
315,asnimansari,2,0.00902,1891,8.53262,22162
316,atye,2,0.00902,1893,8.54165,22162
317,avrono,2,0.00902,1895,8.55067,22162
318,bagguley,2,0.00902,1897,8.55970,22162
319,bahatron,2,0.00902,1899,8.56872,22162
320,balamuru,2,0.00902,1901,8.57775,22162
321,barn3y,2,0.00902,1903,8.58677,22162
322,barrachri,2,0.00902,1905,8.59579,22162
323,baygeldin,2,0.00902,1907,8.60482,22162
324,bennyr103,2,0.00902,1909,8.61384,22162
325,bh90210,2,0.00902,1911,8.62287,22162
326,BigJoe01,2,0.00902,1913,8.63189,22162
327,bobthekingofegypt,2,0.00902,1915,8.64092,22162
328,boomfly,2,0.00902,1917,8.64994,22162
329,BruceWangNo1,2,0.00902,1919,8.65897,22162
330,brvith,2,0.00902,1921,8.66799,22162
331,buybackoff,2,0.00902,1923,8.67701,22162
332,CameronAckermanSEL,2,0.00902,1925,8.68604,22162
333,ccqpein,2,0.00902,1927,8.69506,22162
334,ChainGank,2,0.00902,1929,8.70409,22162
335,chenmarko,2,0.00902,1931,8.71311,22162
336,chimirala,2,0.00902,1933,8.72214,22162
337,chowyu08,2,0.00902,1935,8.73116,22162
338,chunytan,2,0.00902,1937,8.74019,22162
339,cjg1990,2,0.00902,1939,8.74921,22162
340,clanstyles,2,0.00902,1941,8.75823,22162
341,codecandy2015,2,0.00902,1943,8.76726,22162
342,codergr,2,0.00902,1945,8.77628,22162
343,codinggg,2,0.00902,1947,8.78531,22162
344,CoffiDev,2,0.00902,1949,8.79433,22162
345,cogmeta,2,0.00902,1951,8.80336,22162
346,composer22,2,0.00902,1953,8.81238,22162
347,coolyrat,2,0.00902,1955,8.82141,22162
348,Corni,2,0.00902,1957,8.83043,22162
349,cosmicnag,2,0.00902,1959,8.83945,22162
350,cosmonawt,2,0.00902,1961,8.84848,22162
351,damarus-qa,2,0.00902,1963,8.85750,22162
352,danielsdeleo,2,0.00902,1965,8.86653,22162
353,danlanxiaohei,2,0.00902,1967,8.87555,22162
354,Darkclainer,2,0.00902,1969,8.88458,22162
355,darrenclark,2,0.00902,1971,8.89360,22162
356,david-gurley,2,0.00902,1973,8.90263,22162
357,davisford,2,0.00902,1975,8.91165,22162
358,dbskccc,2,0.00902,1977,8.92068,22162
359,dc0d,2,0.00902,1979,8.92970,22162
360,deviantmk,2,0.00902,1981,8.93872,22162
361,dhickie,2,0.00902,1983,8.94775,22162
362,digitalnomd,2,0.00902,1985,8.95677,22162
363,dkavraal,2,0.00902,1987,8.96580,22162
364,dkoston,2,0.00902,1989,8.97482,22162
365,dominic-pockit,2,0.00902,1991,8.98385,22162
366,dwaynebradley,2,0.00902,1993,8.99287,22162
367,dxj910804,2,0.00902,1995,9.00190,22162
368,earnric,2,0.00902,1997,9.01092,22162
369,egilsster,2,0.00902,1999,9.01994,22162
370,egoon,2,0.00902,2001,9.02897,22162
371,eigood,2,0.00902,2003,9.03799,22162
372,eisig,2,0.00902,2005,9.04702,22162
373,erikbgithub,2,0.00902,2007,9.05604,22162
374,expelledboy,2,0.00902,2009,9.06507,22162
375,eymkey2,2,0.00902,2011,9.07409,22162
376,fabioyy,2,0.00902,2013,9.08312,22162
377,fajran,2,0.00902,2015,9.09214,22162
378,FengMInng,2,0.00902,2017,9.10116,22162
379,ferdianr,2,0.00902,2019,9.11019,22162
380,feribg,2,0.00902,2021,9.11921,22162
381,firrae,2,0.00902,2023,9.12824,22162
382,FlightToFreedom,2,0.00902,2025,9.13726,22162
383,fosk06,2,0.00902,2027,9.14629,22162
384,friism,2,0.00902,2029,9.15531,22162
385,FSteynberg01,2,0.00902,2031,9.16434,22162
386,fxfactorial,2,0.00902,2033,9.17336,22162
387,gaozhidf,2,0.00902,2035,9.18238,22162
388,gauravpp,2,0.00902,2037,9.19141,22162
389,gfmartins,2,0.00902,2039,9.20043,22162
390,gillesdemey,2,0.00902,2041,9.20946,22162
391,GlurG,2,0.00902,2043,9.21848,22162
392,grbr,2,0.00902,2045,9.22751,22162
393,Greatsamps,2,0.00902,2047,9.23653,22162
394,gtr32x,2,0.00902,2049,9.24556,22162
395,gun1x,2,0.00902,2051,9.25458,22162
396,gunnaringe,2,0.00902,2053,9.26360,22162
397,HannaKraft,2,0.00902,2055,9.27263,22162
398,hendrakwong,2,0.00902,2057,9.28165,22162
399,hsahuntnx,2,0.00902,2059,9.29068,22162
400,huangjunwen,2,0.00902,2061,9.29970,22162
401,hubinix,2,0.00902,2063,9.30873,22162
402,hungrymike,2,0.00902,2065,9.31775,22162
403,hvt,2,0.00902,2067,9.32678,22162
404,ibmendoza,2,0.00902,2069,9.33580,22162
405,IgorKey,2,0.00902,2071,9.34482,22162
406,ikkyuland,2,0.00902,2073,9.35385,22162
407,iliesh,2,0.00902,2075,9.36287,22162
408,illuminati-RV,2,0.00902,2077,9.37190,22162
409,invertigo,2,0.00902,2079,9.38092,22162
410,ipfans,2,0.00902,2081,9.38995,22162
411,ivanperez-mb,2,0.00902,2083,9.39897,22162
412,ivanrodolfo,2,0.00902,2085,9.40800,22162
413,jacktuck,2,0.00902,2087,9.41702,22162
414,james-andrewsmith,2,0.00902,2089,9.42604,22162
415,jamiesonbecker,2,0.00902,2091,9.43507,22162
416,JAndritsch,2,0.00902,2093,9.44409,22162
417,jdolce,2,0.00902,2095,9.45312,22162
418,jdvor,2,0.00902,2097,9.46214,22162
419,jeffkirby,2,0.00902,2099,9.47117,22162
420,jensenbox,2,0.00902,2101,9.48019,22162
421,jeroenrinzema,2,0.00902,2103,9.48922,22162
422,JesusIslam,2,0.00902,2105,9.49824,22162
423,jjcarstens,2,0.00902,2107,9.50726,22162
424,johnsiu2016,2,0.00902,2109,9.51629,22162
425,johnwlockwood,2,0.00902,2111,9.52531,22162
426,johnyborek,2,0.00902,2113,9.53434,22162
427,JoHuang,2,0.00902,2115,9.54336,22162
428,jorispz,2,0.00902,2117,9.55239,22162
429,joshglendenning,2,0.00902,2119,9.56141,22162
430,jprando,2,0.00902,2121,9.57044,22162
431,jpsilvagallino,2,0.00902,2123,9.57946,22162
432,julianbueno,2,0.00902,2125,9.58848,22162
433,kalleep,2,0.00902,2127,9.59751,22162
434,Kannaj,2,0.00902,2129,9.60653,22162
435,kaspertygesen,2,0.00902,2131,9.61556,22162
436,kcarlson2915,2,0.00902,2133,9.62458,22162
437,kethan,2,0.00902,2135,9.63361,22162
438,kiddpt,2,0.00902,2137,9.64263,22162
439,kingkorf,2,0.00902,2139,9.65166,22162
440,kirbyclover,2,0.00902,2141,9.66068,22162
